213011,213211,213294,213552,213863,213942,214631,214874,214954,215532,216274,217045,217345,217610,217716,217778,218305,218310,218597,218794,218870,219422,219476,219725,219834,220258,220450,220475,221476,222107,222869,223195,223763,224631,224959,225366,225395,226011,226039,226471,226730,226959,227008,227395,227787,228039,228450,228770,228848,229016
229243,229385,229459,229734,229954,230036,230050,231533,232608,233005,233097,233400,233571,234102,235236,235408,235427,236452,236604,236734,237600,238053,238235,238300,238481,238672,238912,239323,239536,239561,239927,239964,240465,240898,241139,241207,241877,242455,243502,243594,243664,243920,244405,244516,244849,244928,245037,245158,245393,245757
245900,246233,246578,246962,247173,248393,248418,248957,249115,249187,249686,249693,250083,250106,250588,250720,250901,251194,251279,251647,251922,252118,252178,252256,252697,252756,253068,253762,253869,253937,254046,254896,254928,255816,256151,256466,256514,256811,256912,257179,258010,258441,258673,259783,260038,260346,260361,260391,260681,260756
261013,261266,261385,261886,261914,261966,262072,262559,262719,263181,263269,264043,264570,264740,265185,265247,265490,265673,266154,266210,267042,268580,268906,269390,269541,269556,269644,269726,269805,269819,269921,270070,270276,271080,271352,271685,271740,272651,272845,273058,273114,273421,274342,274388,274419,275055,275065,275353,275416,275898
276747,277108,277672,277895,278515,278802,278847,279034,279903,280078,280567,280794,280919,281141,281205,281292,281388,281735,282066,282395,282498,282848,282877,283294,283800,283899,283924,284676,284825,284866,285002,285087,285412,285463,285699,285865,285871,285984,287445,287579,288145,288946,289035,289165,289814,290207,290315,290560,290658,290873
291370,291382,291607,291847,291927,292036,292319,292323,292550,293290,293475,293953,294282,294382,294428,294504,294795,294916,295128,295183,295233,295400,295455,295506,295727,295815,295818,296855,296932,296954,296992,297130,297358,297602,298230,298557,298878,298950,298958,299078,299185,299342,299505,300338,300343,300847,301301,301823,302375,302485
302507,302543,302648,302902,303077,303607,304150,304716,305024,305132,306301,306430,306443,306566,307240,307243,307434,307874,307953,308010,308205,308607,308827,308916,309006,309093,309110,309116,309370,310474,311057,311061,311202,311426,311443,311551,311862,311956,312042,312216,312495,313012,313034,313081,313313,314245,314359,314526,314966,315021
316009,316985,317156,317265,317646,317760,318850,318904,319016,319191,319823,320402,320412,320632,320928,321003,321135,321224,321259,321412,321633,321656,321789,322194,322915,322978,323403,323784,324255,324841,325041,325809,325854,326281,326349,326951,327091,327200,327471,328584,328944,329174,329215,329598,329771,329789,329920,329995,330103,330380
332086,332150,332225,332408,332882,332991,333617,333946,334343,334662,334914,334982,335586,336161,336383,336522,336534,338179,338451,338745,338891,339103,339450,339526,339681,340614,340637,340919,341536,341927,342227,342449,342888,342944,343054,343217,343228,343570,343823,344567,344607,345016,345534,345652,346200,346207,346415,346486,346735,347083
347259,347516,347687,347927,348227,348402,348822,348829,349250,349813,349818,350477,350890,351094,351212,351230,351316,351739,351979,352034,352578,352658,352742,352827,353463,353847,353940,354065,354465,354470,354637,354769,355154,355221,355580,355908,356053,356199,356242,356269,356602,356651,356665,357959,358078,358284,358635,358706,358987,359970
360770,360908,360919,361187,361269,361774,362343,362840,362884,363163,363907,364054,364215,364473,364945,364987,365640,366164,366326,366608,366756,366907,367740,368107,368228,368452,369147,369943,370453,370522,370531,370869,371449,371762,372127,372240,372613,373103,373518,373661,373990,374471,374505,374804,374875,375922,376225,376251,376546,376801
376941,376946,377042,377137,377171,377461,378243,378347,378384,378419,378445,378927,379113,379776,380257,380361,380631,380925,381504,382032,382394,382506,382826,382835,383168,383246,383437,384286,384355,384544,384739,384910,385092,385384,385624,385683,385753,385912,385965,386242,386518,387355,387702,387799,388294,388794,389913,390072,390251,390601
390655,390877,391074,391177,392130,392303,392457,392571,392703,392827,392990,393275,393367,393707,393783,394572,394906,395082,395153,395158,395189,395226,395313,395326,395345,395942,396194,396374,396713,396784,396949,397139,397370,397726,397754,397951,398056,398133,398168,398969,399133,399346,399519,399821,399965,400192,400564,400802,400889,400985
400995,401042,401219,401673,401869,401953,402079,402153,402732,403460,403493,403810,404232,404294,404537,405571,405649,405733,405897,405944,406062,406811,407530,407641,407718,407840,408047,408615,408616,408635,408809,409465,409863,410285,410323,410489,410537,410542,410612,410698,410828,410868,411153,411617,411667,412250,412430,412537,413005,413018
